PUMA20_GISJOIN,CZ90,CZ90_name,pop_overlap,share_of_PUMA20,PUMA20_total_pop,cells,grid_res_m,crs_epsg,method,PUMA20_name,state_fips,state,afactor,GISJOIN,STATEFP20,PUMACE20,GEOID20
G06006523,38300,"Los Angeles city, CA",140525.2135,0.999889137,140540.7943,11486,100,5070,building_footprint_area,Riverside County (Southwest)--Temecula City PUMA,6,CA,0.999889137,G06006523,6,6523,606523
G06007302,38000,"San Diego city, CA",124769.3549,1.0,124769.3549,29771,100,5070,building_footprint_area,"San Diego County (North & East)--Fallbrook, Alpine & Valley Center PUMA",6,CA,1.0,G06007302,6,7302,607302
G06006524,38000,"San Diego city, CA",1.195021331,6.45e-06,185195.3722,2,100,5070,building_footprint_area,Riverside County (Southwest)--Murrieta & Wildomar Cities PUMA,6,CA,6.45e-06,G06006524,6,6524,606524
G06007301,38000,"San Diego city, CA",194725.3185,0.999605768,194802.1157,7668,100,5070,building_footprint_area,San Diego County (Northwest)--Oceanside City & Camp Pendleton PUMA,6,CA,0.999605768,G06007301,6,7301,607301
G06007301,38300,"Los Angeles city, CA",76.56338346,0.000393,194802.1157,8,100,5070,building_footprint_area,San Diego County (Northwest)--Oceanside City & Camp Pendleton PUMA,6,CA,0.000393,G06007301,6,7301,607301
G06006523,38000,"San Diego city, CA",15.58080695,0.000111,140540.7943,12,100,5070,building_footprint_area,Riverside County (Southwest)--Temecula City PUMA,6,CA,0.000111,G06006523,6,6523,606523
G06006515,38000,"San Diego city, CA",2.403264999,1.51e-05,159230.1896,1,100,5070,building_footprint_area,"Riverside County (Central)--Palm Desert, La Quinta (West) & Desert Hot Springs Cities PUMA",6,CA,1.51e-05,G06006515,6,6515,606515
G06007323,38000,"San Diego city, CA",116390.7878,1.0,116390.7878,6726,100,5070,building_footprint_area,San Diego County (Northwest)--Vista City PUMA,6,CA,1.0,G06007323,6,7323,607323
G06007324,38000,"San Diego city, CA",131258.6731,1.0,131258.6731,6092,100,5070,building_footprint_area,San Diego County (Northwest)--Carlsbad City PUMA,6,CA,1.0,G06007324,6,7324,607324
G06002500,38100,"Yuma city, AZ",175858.4424,0.999996354,175859.0836,11728,100,5070,building_footprint_area,Imperial County--El Centro City PUMA,6,CA,0.999996354,G06002500,6,2500,602500
G06007306,38000,"San Diego city, CA",144001.6555,1.0,144001.6555,7803,100,5070,building_footprint_area,San Diego County (Northwest)--Escondido City (East) PUMA,6,CA,1.0,G06007306,6,7306,607306
G06007325,38000,"San Diego city, CA",126174.1584,1.0,126174.1584,5829,100,5070,building_footprint_area,San Diego County (Northwest)--San Marcos & Escondido (West) Cities PUMA,6,CA,1.0,G06007325,6,7325,607325
G06002500,38300,"Los Angeles city, CA",0.641157022,3.65e-06,175859.0836,3,100,5070,building_footprint_area,Imperial County--El Centro City PUMA,6,CA,3.65e-06,G06002500,6,2500,602500
G06007326,38000,"San Diego city, CA",172204.2381,0.994408444,173172.5421,11586,100,5070,building_footprint_area,San Diego County (West)--San Diego (Northwest/San Dieguito) & Encinitas Cities PUMA,6,CA,0.994408444,G06007326,6,7326,607326
G06007307,38000,"San Diego city, CA",112222.7538,1.0,112222.7538,13370,100,5070,building_footprint_area,"San Diego County (Central)--Lakeside, Winter Gardens & Ramona PUMA",6,CA,1.0,G06007307,6,7307,607307
G06007308,38000,"San Diego city, CA",128269.3852,1.0,128269.3852,7828,100,5070,building_footprint_area,San Diego County (Central)--San Diego (Northeast/Rancho Bernardo) & Poway Cities PUMA,6,CA,1.0,G06007308,6,7308,607308
G06007310,38000,"San Diego city, CA",160108.3575,0.975068607,164202.1456,5999,100,5070,building_footprint_area,San Diego County (West)--San Diego City (Southwest/Central Coastal) PUMA,6,CA,0.975068607,G06007310,6,7310,607310
G06007311,38000,"San Diego city, CA",123829.7977,1.0,123829.7977,4697,100,5070,building_footprint_area,San Diego County (West Central)--San Diego City (Northwest/Del Mar Mesa) PUMA,6,CA,1.0,G06007311,6,7311,607311
G06007312,38000,"San Diego city, CA",122611.9797,1.0,122611.9797,2482,100,5070,building_footprint_area,San Diego County (Central)--San Diego City (Central/Mira Mesa & University Heights) PUMA,6,CA,1.0,G06007312,6,7312,607312
G06007314,38000,"San Diego city, CA",159369.1985,1.0,159369.1985,6049,100,5070,building_footprint_area,San Diego County (Central)--San Diego (East Central/Navajo) & La Mesa Cities PUMA,6,CA,1.0,G06007314,6,7314,607314
G06007313,38000,"San Diego city, CA",189454.568,1.0,189454.568,7186,100,5070,building_footprint_area,San Diego County (Central)--El Cajon & Santee Cities PUMA,6,CA,1.0,G06007313,6,7313,607313
G06007315,38000,"San Diego city, CA",166161.8076,1.0,166161.8076,5304,100,5070,building_footprint_area,San Diego County (West Central)--San Diego City (Central/Clairemont & Kearny Mesa) PUMA,6,CA,1.0,G06007315,6,7315,607315
G06007317,38000,"San Diego city, CA",164675.4026,1.0,164675.4026,3381,100,5070,building_footprint_area,San Diego County (South Central)--San Diego City (Central/Mid-City) PUMA,6,CA,1.0,G06007317,6,7317,607317
G06007316,38000,"San Diego city, CA",175559.7377,1.0,175559.7377,3169,100,5070,building_footprint_area,San Diego County (South Central)--San Diego City (Central/Centre City & Balboa Park) PUMA,6,CA,1.0,G06007316,6,7316,607316
G06007328,38000,"San Diego city, CA",131975.0483,1.0,131975.0483,8297,100,5070,building_footprint_area,"San Diego County (South Central)--Lemon Grove City, La Presa & Spring Valley PUMA",6,CA,1.0,G06007328,6,7328,607328
G06007327,38000,"San Diego city, CA",149576.0584,1.0,149576.0584,3776,100,5070,building_footprint_area,San Diego County (South)--San Diego City (Southeast/Encanto & Skyline) PUMA,6,CA,1.0,G06007327,6,7327,607327
G06007329,38000,"San Diego city, CA",167558.4948,1.0,167558.4948,5946,100,5070,building_footprint_area,San Diego County (Southwest)--Sweetwater Region--Chula Vista City (East) PUMA,6,CA,1.0,G06007329,6,7329,607329
